STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,RAINFALL
USC00250435,40.45,-95.8,345,12/2/1986,10
USC00250435,40.45,-95.8,345,12/3/1986,0
USC00250435,40.45,-95.8,345,12/4/1986,0
USC00250435,40.45,-95.8,345,12/5/1986,0
USC00250435,40.45,-95.8,345,12/6/1986,0
USC00250435,40.45,-95.8,345,12/7/1986,90
USC00250435,40.45,-95.8,345,12/8/1986,20
USC00250435,40.45,-95.8,345,12/9/1986,0
USC00250435,40.45,-95.8,345,12/10/1986,0
USC00250435,40.45,-95.8,345,12/11/1986,0
USC00250435,40.45,-95.8,345,12/12/1986,0
USC00250435,40.45,-95.8,345,12/13/1986,0
USC00250435,40.45,-95.8,345,12/14/1986,0
USC00250435,40.45,-95.8,345,12/15/1986,0
USC00250435,40.45,-95.8,345,12/16/1986,0
USC00250435,40.45,-95.8,345,12/17/1986,0
USC00250435,40.45,-95.8,345,12/18/1986,0
USC00250435,40.45,-95.8,345,12/19/1986,0
USC00250435,40.45,-95.8,345,12/20/1986,0
USC00250435,40.45,-95.8,345,12/21/1986,0
USC00250435,40.45,-95.8,345,12/22/1986,0
USC00250435,40.45,-95.8,345,12/23/1986,0
USC00250435,40.45,-95.8,345,12/24/1986,0
USC00250435,40.45,-95.8,345,12/25/1986,0
USC00250435,40.45,-95.8,345,12/26/1986,0
USC00250435,40.45,-95.8,345,12/27/1986,0
USC00250435,40.45,-95.8,345,12/28/1986,0
USC00250435,40.45,-95.8,345,12/29/1986,0
USC00250435,40.45,-95.8,345,12/30/1986,0
USC00250435,40.45,-95.8,345,12/31/1986,0
USC00250435,40.45,-95.8,345,1/1/1987,0
USC00250435,40.45,-95.8,345,1/2/1987,0
USC00250435,40.45,-95.8,345,1/3/1987,0
USC00250435,40.45,-95.8,345,1/4/1987,0
USC00250435,40.45,-95.8,345,1/5/1987,0
USC00250435,40.45,-95.8,345,1/6/1987,0
USC00250435,40.45,-95.8,345,1/7/1987,0
USC00250435,40.45,-95.8,345,1/8/1987,0
USC00250435,40.45,-95.8,345,1/9/1987,40
USC00250435,40.45,-95.8,345,1/10/1987,0
USC00250435,40.45,-95.8,345,1/11/1987,0
USC00250435,40.45,-95.8,345,1/12/1987,0
USC00250435,40.45,-95.8,345,1/13/1987,0
USC00250435,40.45,-95.8,345,1/14/1987,0
USC00250435,40.45,-95.8,345,1/15/1987,0
USC00250435,40.45,-95.8,345,1/16/1987,0
USC00250435,40.45,-95.8,345,1/17/1987,0
USC00250435,40.45,-95.8,345,1/18/1987,0
USC00250435,40.45,-95.8,345,1/19/1987,0
USC00250435,40.45,-95.8,345,1/20/1987,0
USC00250435,40.45,-95.8,345,1/21/1987,0
USC00250435,40.45,-95.8,345,1/22/1987,0
USC00250435,40.45,-95.8,345,1/23/1987,0
USC00250435,40.45,-95.8,345,1/24/1987,0
USC00250435,40.45,-95.8,345,1/25/1987,0
USC00250435,40.45,-95.8,345,1/26/1987,0
USC00250435,40.45,-95.8,345,1/27/1987,0
USC00250435,40.45,-95.8,345,1/28/1987,0
USC00250435,40.45,-95.8,345,1/29/1987,0
USC00250435,40.45,-95.8,345,1/30/1987,0
USC00250435,40.45,-95.8,345,1/31/1987,20
USC00250435,40.45,-95.8,345,2/1/1987,0
USC00250435,40.45,-95.8,345,2/2/1987,0
USC00250435,40.45,-95.8,345,2/3/1987,0
USC00250435,40.45,-95.8,345,2/4/1987,0
USC00250435,40.45,-95.8,345,2/5/1987,10
USC00250435,40.45,-95.8,345,2/6/1987,0
USC00250435,40.45,-95.8,345,2/7/1987,0
USC00250435,40.45,-95.8,345,2/8/1987,0
USC00250435,40.45,-95.8,345,2/9/1987,10
USC00250435,40.45,-95.8,345,2/10/1987,0
USC00250435,40.45,-95.8,345,2/11/1987,0
USC00250435,40.45,-95.8,345,2/12/1987,0
USC00250435,40.45,-95.8,345,2/13/1987,0
USC00250435,40.45,-95.8,345,2/14/1987,0
USC00250435,40.45,-95.8,345,2/15/1987,0
USC00250435,40.45,-95.8,345,2/16/1987,0
USC00250435,40.45,-95.8,345,2/17/1987,0
USC00250435,40.45,-95.8,345,2/18/1987,0
USC00250435,40.45,-95.8,345,2/19/1987,0
USC00250435,40.45,-95.8,345,2/20/1987,0
USC00250435,40.45,-95.8,345,2/21/1987,0
USC00250435,40.45,-95.8,345,2/22/1987,0
USC00250435,40.45,-95.8,345,2/23/1987,0
USC00250435,40.45,-95.8,345,2/24/1987,0
USC00250435,40.45,-95.8,345,2/25/1987,0
USC00250435,40.45,-95.8,345,2/26/1987,0
USC00250435,40.45,-95.8,345,4/2/1987,0
USC00250435,40.45,-95.8,345,4/3/1987,0
USC00250435,40.45,-95.8,345,4/4/1987,0
USC00250435,40.45,-95.8,345,4/5/1987,0
USC00250435,40.45,-95.8,345,4/6/1987,0
USC00250435,40.45,-95.8,345,4/7/1987,0
USC00250435,40.45,-95.8,345,4/8/1987,0
USC00250435,40.45,-95.8,345,4/9/1987,0
USC00250435,40.45,-95.8,345,4/10/1987,0
USC00250435,40.45,-95.8,345,4/11/1987,0
USC00250435,40.45,-95.8,345,4/12/1987,0
USC00250435,40.45,-95.8,345,4/13/1987,110
USC00250435,40.45,-95.8,345,4/14/1987,160
USC00250435,40.45,-95.8,345,4/15/1987,10
USC00250435,40.45,-95.8,345,4/16/1987,0
USC00250435,40.45,-95.8,345,4/17/1987,0
USC00250435,40.45,-95.8,345,4/18/1987,0
USC00250435,40.45,-95.8,345,4/19/1987,0
USC00250435,40.45,-95.8,345,4/20/1987,0
USC00250435,40.45,-95.8,345,4/21/1987,0
USC00250435,40.45,-95.8,345,4/22/1987,0
USC00250435,40.45,-95.8,345,4/23/1987,0
USC00250435,40.45,-95.8,345,4/24/1987,0
USC00250435,40.45,-95.8,345,4/25/1987,0
USC00250435,40.45,-95.8,345,4/26/1987,10
USC00250435,40.45,-95.8,345,4/27/1987,0
USC00250435,40.45,-95.8,345,4/28/1987,0
USC00250435,40.45,-95.8,345,4/29/1987,0
USC00250435,40.45,-95.8,345,4/30/1987,0
USC00250435,40.45,-95.8,345,5/1/1987,0
USC00250435,40.45,-95.8,345,5/2/1987,0
USC00250435,40.45,-95.8,345,5/3/1987,30
USC00250435,40.45,-95.8,345,5/4/1987,20
USC00250435,40.45,-95.8,345,5/5/1987,20
USC00250435,40.45,-95.8,345,5/6/1987,0
USC00250435,40.45,-95.8,345,5/7/1987,0
USC00250435,40.45,-95.8,345,5/8/1987,0
USC00250435,40.45,-95.8,345,5/9/1987,0
USC00250435,40.45,-95.8,345,5/10/1987,0
USC00250435,40.45,-95.8,345,5/11/1987,0
USC00250435,40.45,-95.8,345,5/12/1987,0
